"Replicate","Term","Deviance_Value","Eta_Sq_Value","Amplitude_Value","RMS_Value"
207,"s(V1_pre_z)",9.83123018212671,0.0885130588455519,1.98272272481994,0.61079045059335
208,"s(V1_pre_z)",10.0466973285598,0.0886773615475938,2.06414186928045,0.626979057091218
209,"s(V1_pre_z)",9.48345637381512,0.0874774547090819,1.87976693365849,0.587783106690742
210,"s(V1_pre_z)",9.35269432339855,0.0848358137287784,1.96389400697042,0.600850642509728
211,"s(V1_pre_z)",9.6014751077989,0.0820287448626087,2.09380428303067,0.628979170903407
212,"s(V1_pre_z)",9.85349115135887,0.0891850476223769,1.98240986151617,0.610407129174394
213,"s(V1_pre_z)",10.0609457400201,0.0899613437035207,2.05380207004628,0.628330203032728
214,"s(V1_pre_z)",9.64433585753194,0.0852752793579791,2.02157017266971,0.612773901870951
215,"s(V1_pre_z)",10.294853782482,0.0931734823191169,2.04351445208097,0.6264355443146
216,"s(V1_pre_z)",9.66984867520251,0.0883521630077753,1.94811288350924,0.603362658581158
217,"s(V1_pre_z)",9.86562946800686,0.0885414841425816,2.01418547800063,0.616801503313878
218,"s(V1_pre_z)",10.2590811813259,0.0956269292229291,1.94678665420481,0.612592333067492
219,"s(V1_pre_z)",9.61321963995659,0.0848685259182252,2.05497580070293,0.623230631918366
220,"s(V1_pre_z)",10.2154732063917,0.0888935697261049,2.14066680847174,0.644349412930128
221,"s(V1_pre_z)",9.23277536574512,0.0930805373699764,2.14111862757787,0.630601050788333
222,"s(V1_pre_z)",10.2250631511341,0.0937048976939183,2.14265696315532,0.643734849175614
223,"s(V1_pre_z)",10.0145325454336,0.0897170574758088,2.14417200271707,0.641883136780221
224,"s(V1_pre_z)",10.2331617183228,0.0963841452355987,1.87699152560013,0.598282000792766
225,"s(V1_pre_z)",9.98876347743578,0.0882259333227825,2.05198640206776,0.623057928047487
226,"s(V1_pre_z)",10.4343535455174,0.0916742710731039,2.11126575211502,0.640665691658243
227,"s(V1_pre_z)",9.5660768423837,0.0889928588708833,1.91166723186174,0.596567820546698
228,"s(V1_pre_z)",10.1258449068293,0.0916438088582596,2.05451827306947,0.628417174643997
229,"s(V1_pre_z)",10.2637343688981,0.0909120559421981,2.0830472008591,0.635298990693524
230,"s(V1_pre_z)",10.1910782924162,0.0896754978872898,2.10046506870987,0.636850224364461
231,"s(V1_pre_z)",9.85811595132409,0.0864419108883626,2.04723820319715,0.620752834001868
232,"s(V1_pre_z)",10.3434896496376,0.0940894798772022,2.01412158296992,0.622666791674996
233,"s(V1_pre_z)",10.8849026063098,0.103407861314207,1.95024372000601,0.623724643569084
234,"s(V1_pre_z)",9.93850097121307,0.0909724429088399,1.96996730620808,0.610571737216362
